ID,Age,Education_level,Sexe,Country,Ethnicity,drug_names,Drug_uses
21,45-54,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
22,65+,A quitté l'école avant 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
23,45-54,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
24,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
25,55-64,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
26,45-54,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
27,55-64,A quitté l'école à 18 ans,Femme,Canada,Blanc,Alcohol,Utilisé le dernier jour
28,35-44,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
29,35-44,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
31,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
32,35-44,A quitté l'école à 16 ans,Femme,Autres,Blanc,Alcohol,Utilisé au cours de la dernière année
33,35-44,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
34,18-24,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
35,35-44,Diplôme universitaire,Masculin,États-Unis,Autre,Alcohol,Utilisé au cours du mois dernier
36,65+,A quitté l'école avant 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
37,35-44,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
38,55-64,A quitté l'école avant 16 ans,Masculin,États-Unis,Blanc,Alcohol,Utilisé le dernier jour
39,45-54,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
40,65+,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
41,35-44,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
42,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
43,35-44,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
44,35-44,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
45,25-34,Diplôme universitaire,Masculin,Royaume-Uni,Autre,Alcohol,utilisé la semaine dernière
46,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
47,45-54,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Canada,Blanc,Alcohol,Utilisé au cours de la dernière année
48,45-54,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
49,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
50,25-34,Maitrise,Femme,Royaume-Uni,Mixte-Blanc/Noir,Alcohol,Utilisé le dernier jour
51,35-44,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
52,45-54,Certificat/diplôme professionnel,Masculin,Canada,Blanc,Alcohol,Utilisé au cours de la dernière décennie
53,55-64,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
54,45-54,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
55,55-64,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
56,55-64,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
57,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
58,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé depuis une décennie
59,45-54,A quitté l'école à 18 ans,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
60,45-54,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
61,25-34,Doctorat,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
62,45-54,Maitrise,Masculin,Royaume-Uni,Asiatique,Alcohol,utilisé la semaine dernière
63,25-34,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
64,45-54,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
65,45-54,Doctorat,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
66,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
67,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
68,25-34,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
69,35-44,Certificat/diplôme professionnel,Masculin,Autres,Blanc,Alcohol,utilisé la semaine dernière
70,45-54,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
71,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
72,45-54,A quitté l'école à 18 ans,Femme,Canada,Blanc,Alcohol,utilisé la semaine dernière
73,45-54,A quitté l'école à 18 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
74,45-54,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
75,65+,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
76,25-34,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
77,45-54,A quitté l'école à 17 ans,Femme,Canada,Blanc,Alcohol,Utilisé au cours du mois dernier
78,35-44,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
79,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
80,35-44,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
81,65+,Doctorat,Femme,Canada,Blanc,Alcohol,Utilisé le dernier jour
82,55-64,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
83,55-64,Maitrise,Masculin,Canada,Blanc,Alcohol,utilisé la semaine dernière
84,55-64,A quitté l'école à 17 ans,Femme,Royaume-Uni,Mixte-Blanc/Noir,Alcohol,Utilisé au cours de la dernière année
85,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
86,25-34,A quitté l'école à 18 ans,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
87,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
88,55-64,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
89,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
90,35-44,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
91,35-44,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
92,35-44,Certificat/diplôme professionnel,Masculin,Canada,Blanc,Alcohol,Utilisé au cours de la dernière décennie
93,25-34,A quitté l'école à 18 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
94,65+,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
95,45-54,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
96,45-54,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
97,35-44,Diplôme universitaire,Femme,Canada,Blanc,Alcohol,Utilisé au cours du mois dernier
98,45-54,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
99,35-44,Doctorat,Masculin,Canada,Blanc,Alcohol,Utilisé au cours du mois dernier
100,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
101,25-34,Maitrise,Masculin,Autres,Blanc,Alcohol,Utilisé le dernier jour
102,45-54,A quitté l'école à 16 ans,Femme,Australie,Blanc,Alcohol,Utilisé au cours du mois dernier
103,45-54,A quitté l'école à 18 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
104,45-54,Certificat/diplôme professionnel,Femme,Canada,Blanc,Alcohol,Utilisé au cours du mois dernier
105,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Canada,Blanc,Alcohol,utilisé la semaine dernière
106,35-44,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
107,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
108,35-44,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
109,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
110,45-54,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
111,45-54,Maitrise,Masculin,Royaume-Uni,Asiatique,Alcohol,utilisé la semaine dernière
112,25-34,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
113,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
114,45-54,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
115,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
116,25-34,Certificat/diplôme professionnel,Femme,Canada,Blanc,Alcohol,utilisé la semaine dernière
117,35-44,Certificat/diplôme professionnel,Masculin,Canada,Blanc,Alcohol,Utilisé au cours du mois dernier
118,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
119,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Alcohol,utilisé la semaine dernière
120,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
121,25-34,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
122,35-44,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière décennie
123,55-64,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
124,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
125,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
126,55-64,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
127,45-54,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
128,45-54,A quitté l'école à 17 ans,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
130,45-54,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
131,45-54,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
132,45-54,A quitté l'école à 16 ans,Femme,Royaume-Uni,Autre,Alcohol,Utilisé au cours du mois dernier
133,35-44,A quitté l'école à 18 ans,Femme,République d'Irlande,Blanc,Alcohol,Utilisé au cours du mois dernier
134,35-44,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
135,25-34,Maitrise,Femme,Royaume-Uni,Blanche/Asiatique,Alcohol,Utilisé le dernier jour
136,35-44,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé depuis une décennie
137,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
138,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
139,55-64,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
140,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
141,25-34,Diplôme universitaire,Femme,Royaume-Uni,Asiatique,Alcohol,utilisé la semaine dernière
142,35-44,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
143,35-44,A quitté l'école à 17 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
144,35-44,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Noir,Alcohol,Utilisé depuis une décennie
145,45-54,Certificat/diplôme professionnel,Masculin,Canada,Blanc,Alcohol,Utilisé le dernier jour
146,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
147,55-64,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
148,35-44,Maitrise,Masculin,Royaume-Uni,Noir,Alcohol,Utilisé au cours du mois dernier
149,35-44,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
150,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
151,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
152,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
153,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
154,25-34,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
155,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
156,35-44,Diplôme universitaire,Femme,Royaume-Uni,Noir,Alcohol,utilisé la semaine dernière
157,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
158,25-34,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
159,35-44,Diplôme universitaire,Femme,Australie,Blanc,Alcohol,Utilisé au cours de la dernière année
160,45-54,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Noir,Alcohol,Utilisé au cours du mois dernier
161,45-54,Maitrise,Masculin,Autres,Blanc,Alcohol,utilisé la semaine dernière
162,35-44,Diplôme universitaire,Masculin,Royaume-Uni,Noir,Alcohol,utilisé la semaine dernière
163,25-34,Diplôme universitaire,Femme,Nouvelle-Zelande,Blanc,Alcohol,Utilisé au cours de la dernière année
164,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
165,25-34,Doctorat,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
166,45-54,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
167,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
168,25-34,Certificat/diplôme professionnel,Femme,Royaume-Uni,Noir,Alcohol,Utilisé au cours de la dernière décennie
169,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
170,18-24,A quitté l'école à 18 ans,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
171,45-54,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière décennie
172,35-44,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
173,45-54,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
174,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
175,35-44,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
176,55-64,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
177,35-44,Diplôme universitaire,Femme,Royaume-Uni,Autre,Alcohol,Utilisé au cours de la dernière année
178,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
179,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
180,35-44,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
181,45-54,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
182,25-34,Doctorat,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
183,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
184,18-24,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
185,55-64,A quitté l'école à 18 ans,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
186,35-44,Diplôme universitaire,Femme,Canada,Blanc,Alcohol,utilisé la semaine dernière
187,35-44,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
188,55-64,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
189,45-54,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
190,18-24,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
191,55-64,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
192,18-24,Diplôme universitaire,Masculin,Royaume-Uni,Blanche/Asiatique,Alcohol,utilisé la semaine dernière
193,25-34,Certificat/diplôme professionnel,Femme,Canada,Blanc,Alcohol,utilisé la semaine dernière
194,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
195,25-34,Diplôme universitaire,Femme,Canada,Blanche/Asiatique,Alcohol,Utilisé au cours de la dernière année
196,55-64,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
197,18-24,Diplôme universitaire,Masculin,Royaume-Uni,Noir,Alcohol,Utilisé au cours du mois dernier
198,55-64,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
199,25-34,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
200,45-54,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
201,18-24,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
202,35-44,Maitrise,Masculin,Royaume-Uni,Autre,Alcohol,utilisé la semaine dernière
203,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
204,65+,A quitté l'école avant 16 ans,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
205,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
206,35-44,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
207,18-24,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
208,35-44,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
209,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
211,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
212,45-54,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
213,25-34,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
214,45-54,Certificat/diplôme professionnel,Femme,République d'Irlande,Blanc,Alcohol,utilisé la semaine dernière
215,25-34,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
216,25-34,Diplôme universitaire,Femme,Canada,Blanc,Alcohol,utilisé la semaine dernière
217,25-34,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
218,35-44,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière décennie
219,25-34,Maitrise,Femme,Autres,Blanc,Alcohol,Utilisé au cours du mois dernier
220,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
221,18-24,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
222,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours de la dernière année
223,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
224,55-64,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé depuis une décennie
225,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
226,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
227,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
228,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
229,45-54,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
230,45-54,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
231,35-44,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
232,65+,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
233,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
234,45-54,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
235,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
236,25-34,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
237,25-34,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
238,25-34,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
239,18-24,A quitté l'école à 18 ans,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
240,45-54,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
241,35-44,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
242,25-34,A quitté l'école à 18 ans,Femme,Autres,Blanc,Alcohol,utilisé la semaine dernière
243,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
244,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
245,35-44,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
246,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
247,25-34,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
248,45-54,Maitrise,Masculin,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
249,45-54,Doctorat,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
250,45-54,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
251,45-54,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
252,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé au cours du mois dernier
253,18-24,Maitrise,Femme,Royaume-Uni,Blanc,Alcohol,utilisé la semaine dernière
254,45-54,Doctorat,Femme,Royaume-Uni,Blanc,Alcohol,Utilisé le dernier jour
